func_name,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
ClassUseWriter.getClassUseHeader,0.968181828,0.954258706,0.93837634
HttpMessage.setResponseBody,0.966847984,0.963936322,0.897712208
AkkaRpcActor.handleCallAsync,0.869937557,0.91130454,0.810437431
BaseLevel2.ger,0.992346148,0.989171508,0.989465342
CmsEntityBackend.createFromNativeWrapper,0.901064853,0.919162174,0.827660813
ClassLoaderUtil.getOrCreate,0.866704923,0.828929736,0.77545724
CmsUploadBean.createListener,0.964641672,0.977011268,0.947704925
QueryOptimizerFactory.newOptimizer,0.890550234,0.927128239,0.847045578
CmsDefaultWorkflowManager.getLabel,0.954616418,0.910544652,0.876218636
ForkJoinPool.tryCompensate,0.788530711,0.818684165,0.713990686
HttpBody.setLength,0.973537555,0.967839275,0.930822993
Util.mixHashCodes,0.897462887,0.914561846,0.89084614
GaliosFieldOps.divide,0.979526254,0.983997926,0.96709817
BackoffIdleStrategy.createBackoffIdleStrategy,0.944091039,0.951593805,0.910592504
MACCSFingerprinter.createPattern,0.916004821,0.905838773,0.851496129
QueryUtil.getSimilarityQuery,0.966435564,0.975907148,0.960469071
RodriguesRotationJacobian_F32.process,0.932926776,0.938493045,0.894897148
ClientConfig.setFlakeIdGeneratorConfigMap,0.997566112,0.997912354,0.993153659
INode.compareTo,0.916717142,0.931211707,0.830707296
CmsVfsDriver.internalReadParentId,0.925580128,0.907760835,0.836090157
OfflineEditsViewer.go,0.84966104,0.772548581,0.758238318
CmsFunctionRenderer.defaultHtml,0.76335517,0.780356924,0.766367356
DifferentialFunction.getValue,0.855676198,0.852107486,0.815912048
BinaryHashTable.spillPartition,0.912986745,0.916240193,0.831409737
SceneStructureMetric.getUnknownCameraParameterCount,0.956250699,0.944201667,0.948704563
ComputationGraph.initGradientsView,0.908334198,0.908491625,0.87655487
MatchingPointConfigPatternMatcher.getMatchingPoint,0.983511801,0.968629053,0.970074496
Validator.validateEmail,0.999872647,0.999912564,0.99946303
ApiUtils.getOptionalEnumParam,0.916694541,0.925236768,0.855960716
XMIDoclet.generateLogicalView,0.925819788,0.942699104,0.848094919
GroovyMain.processSockets,0.847987153,0.845429575,0.738995169
Json.schema,0.999927081,0.999878736,0.999232536
BlockPlacementPolicyHBase.chooseReplicaToDelete,0.947870212,0.938687064,0.855643771
Indexes.destroyIndexes,0.909584479,0.906163337,0.888979039
Log.localize,0.904202725,0.890090679,0.839057936
OperandStack.remove,0.783158867,0.873711874,0.78812851
FactoryDetectPoint.createHarris,0.961296804,0.955459522,0.881912825
ConnectLinesGrid.connectTry,0.842043993,0.878765488,0.812281009
OptionsParamCheckForUpdates.checkOnStart,0.872230529,0.824881688,0.825902596
Journal.refreshCachedData,0.810607479,0.840627286,0.704582238
UtilOpenKinect.bufferRgbToMsU8,0.834943735,0.877761926,0.823568879
CmsContentEditor.initFormPanel,0.853561254,0.862588642,0.806141416
MethodDocImpl.overriddenType,0.893182571,0.906098339,0.852414775
PoiChecker.checkPoiImport,0.906989141,0.765875478,0.808219153
CmsEditProjectDialog.actionCommit,0.863519386,0.862150657,0.805786395
Motion2DPanel.drawFeatures,0.871905868,0.910092126,0.837950786
HistoryReference.setNote,0.965607155,0.960030301,0.916704986
BindHandler.bind0,0.822131582,0.790229722,0.737192749
GeneratorSingleCluster.addTranslation,0.996861565,0.997065681,0.985178391
Runner.execute,0.618593045,0.640429828,0.603341972
UTF16.valueOf,0.941787363,0.936654621,0.918873085
InMemoryInvertedIndex.indexDense,0.992332405,0.984471368,0.989465577
ReUtil.extractMulti,0.913135583,0.923615325,0.876377518
ChemicalFilters.convertStereo,0.946373681,0.94046469,0.886338889
HttpMethodBase.getURI,0.85360696,0.843185196,0.782786289
AssociateSurfBasic.sort,0.970598104,0.944613294,0.852944945
NetworkTopology.getNode,0.998322621,0.998412635,0.992945249
ChemSequence.growChemModelArray,0.991182344,0.974478545,0.957137528
DefaultGroovyMethods.buffered,0.993239633,0.993636195,0.968648557
ItemCounter.set,0.994970489,0.984114519,0.986951456
DebugReaction.setProductCoefficients,0.963372862,0.944685541,0.898108632
FitLinesToContour.sanityCheckCornerOrder,0.805710431,0.862785044,0.792077568
NoFetchingInput.require,0.889902111,0.864617824,0.831488632
KeyPointsCircleRegularGrid.addTangents,0.936226261,0.918090809,0.90190725
HashUtil.MurmurHash3_x86_32,0.686970422,0.755317244,0.578656603
QueryAtomContainer.getBondOrderSum,0.951187747,0.95053182,0.917837645
PDBWriter.writeMolecule,0.907243208,0.919856636,0.830012258
AddOnLoader.checkAndInstallAddOnsNotInstalled,0.915803073,0.854814186,0.760771136
WKTParser.eatReal,0.942608054,0.924469116,0.885626594
RocksDBIncrementalRestoreOperation.restoreInstanceDirectoryFromPath,0.915099984,0.912581465,0.843326966
CmsMessages.keyWithParams,0.897467055,0.81954001,0.702473206
ParquetRecordReader.getCurrentReadPosition,0.804150396,0.816827863,0.79169908
ArrowSerde.addDataForArr,0.667067647,0.725744327,0.591330468
ClusterJoinManager.executeJoinRequest,0.856299959,0.918613536,0.782310353
CPSubsystemConfig.getGroupSize,0.944170657,0.937298397,0.846395271
