participant_id,batch,sample_id,function_name,rank,candidate_label,context_level
101,1,288,ForkJoinPool.tryCompensate,2,C,L7
101,1,288,ForkJoinPool.tryCompensate,3,B,L5
101,1,288,ForkJoinPool.tryCompensate,4,G,L3
101,1,288,ForkJoinPool.tryCompensate,5,E,L6
101,1,288,ForkJoinPool.tryCompensate,6,D,L8
101,1,288,ForkJoinPool.tryCompensate,7,I,L2
101,1,288,ForkJoinPool.tryCompensate,8,A,L1
101,1,288,ForkJoinPool.tryCompensate,9,F,L4
101,2,344,CmsLockManager.internalSiblingLock,1,E,L4
101,2,344,CmsLockManager.internalSiblingLock,2,A,L2
101,2,344,CmsLockManager.internalSiblingLock,3,G,L3
101,2,344,CmsLockManager.internalSiblingLock,4,I,L5
101,2,344,CmsLockManager.internalSiblingLock,5,H,L7
101,2,344,CmsLockManager.internalSiblingLock,6,D,L6
101,2,344,CmsLockManager.internalSiblingLock,7,C,L9
101,2,344,CmsLockManager.internalSiblingLock,8,F,L8
101,2,344,CmsLockManager.internalSiblingLock,9,B,L1
101,2,346,HttpMethodBase.getURI,1,E,L3
101,2,346,HttpMethodBase.getURI,2,C,L7
101,2,346,HttpMethodBase.getURI,3,H,L5
101,2,346,HttpMethodBase.getURI,4,B,L4
101,2,346,HttpMethodBase.getURI,5,F,L8
101,2,346,HttpMethodBase.getURI,6,D,L9
101,2,346,HttpMethodBase.getURI,7,A,L2
101,2,346,HttpMethodBase.getURI,8,I,L1
101,2,346,HttpMethodBase.getURI,9,G,L6
101,2,359,GridGenerator.getCoordinatesFromGridPoint,1,A,L2
101,2,359,GridGenerator.getCoordinatesFromGridPoint,2,H,L9
101,2,359,GridGenerator.getCoordinatesFromGridPoint,3,D,L8
101,2,359,GridGenerator.getCoordinatesFromGridPoint,4,C,L6
101,2,359,GridGenerator.getCoordinatesFromGridPoint,5,B,L5
101,2,359,GridGenerator.getCoordinatesFromGridPoint,6,F,L7
101,2,359,GridGenerator.getCoordinatesFromGridPoint,7,G,L3
101,2,359,GridGenerator.getCoordinatesFromGridPoint,8,E,L4
101,2,359,GridGenerator.getCoordinatesFromGridPoint,9,I,L1
101,2,367,UTF16.valueOf,1,B,L8
101,2,367,UTF16.valueOf,2,D,L2
101,2,367,UTF16.valueOf,3,E,L3
101,2,367,UTF16.valueOf,4,F,L4
101,2,367,UTF16.valueOf,5,H,L6
101,2,367,UTF16.valueOf,6,I,L9
101,2,367,UTF16.valueOf,7,A,L5
101,2,367,UTF16.valueOf,8,G,L7
101,2,367,UTF16.valueOf,9,C,L1
101,2,369,InMemoryCookieStore.addIndex,1,B,L3
101,2,369,InMemoryCookieStore.addIndex,2,E,L2
101,2,369,InMemoryCookieStore.addIndex,3,C,L5
101,2,369,InMemoryCookieStore.addIndex,4,F,L9
101,2,369,InMemoryCookieStore.addIndex,5,I,L6
101,2,369,InMemoryCookieStore.addIndex,6,H,L8
101,2,369,InMemoryCookieStore.addIndex,7,D,L4
101,2,369,InMemoryCookieStore.addIndex,8,A,L1
101,2,369,InMemoryCookieStore.addIndex,9,G,L7
101,2,405,GridHorizCoordSys.addGDSparams,1,I,L9
101,2,405,GridHorizCoordSys.addGDSparams,2,A,L6
101,2,405,GridHorizCoordSys.addGDSparams,3,G,L7
101,2,405,GridHorizCoordSys.addGDSparams,4,H,L5
101,2,405,GridHorizCoordSys.addGDSparams,5,F,L3
101,2,405,GridHorizCoordSys.addGDSparams,6,B,L8
101,2,405,GridHorizCoordSys.addGDSparams,7,E,L4
101,2,405,GridHorizCoordSys.addGDSparams,8,C,L2
101,2,405,GridHorizCoordSys.addGDSparams,9,D,L1
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,1,F,L8
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,2,I,L9
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,3,E,L5
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,4,B,L6
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,5,H,L7
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,6,C,L4
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,7,D,L3
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,8,A,L2
101,2,414,CmsBasicDialog.createResourceListPanelDirectly,9,G,L1
101,2,418,DFSUtil.getInfoServer,1,I,L5
101,2,418,DFSUtil.getInfoServer,2,F,L9
101,2,418,DFSUtil.getInfoServer,3,D,L7
101,2,418,DFSUtil.getInfoServer,4,C,L6
101,2,418,DFSUtil.getInfoServer,5,G,L8
101,2,418,DFSUtil.getInfoServer,6,A,L2
101,2,418,DFSUtil.getInfoServer,7,H,L3
101,2,418,DFSUtil.getInfoServer,8,E,L4
101,2,418,DFSUtil.getInfoServer,9,B,L1
101,2,434,CmsResourceFilter.addRequireState,1,E,L7
101,2,434,CmsResourceFilter.addRequireState,2,B,L9
101,2,434,CmsResourceFilter.addRequireState,3,C,L6
101,2,434,CmsResourceFilter.addRequireState,4,I,L4
101,2,434,CmsResourceFilter.addRequireState,5,D,L8
101,2,434,CmsResourceFilter.addRequireState,6,G,L3
101,2,434,CmsResourceFilter.addRequireState,7,A,L2
101,2,434,CmsResourceFilter.addRequireState,8,F,L5
101,2,434,CmsResourceFilter.addRequireState,9,H,L1
101,2,443,CmsToolManager.getParent,1,G,L8
101,2,443,CmsToolManager.getParent,2,F,L3
101,2,443,CmsToolManager.getParent,3,C,L2
101,2,443,CmsToolManager.getParent,4,B,L1
101,2,443,CmsToolManager.getParent,5,I,L4
101,2,443,CmsToolManager.getParent,6,D,L5
101,2,443,CmsToolManager.getParent,7,H,L7
101,2,443,CmsToolManager.getParent,8,A,L9
101,2,443,CmsToolManager.getParent,9,E,L6
101,2,447,ModulusSubstitution.doSubstitution,1,I,L8
101,2,447,ModulusSubstitution.doSubstitution,2,C,L2
101,2,447,ModulusSubstitution.doSubstitution,3,H,L3
101,2,447,ModulusSubstitution.doSubstitution,4,D,L9
101,2,447,ModulusSubstitution.doSubstitution,5,F,L5
101,2,447,ModulusSubstitution.doSubstitution,6,E,L6
101,2,447,ModulusSubstitution.doSubstitution,7,A,L4
101,2,447,ModulusSubstitution.doSubstitution,8,B,L7
101,2,447,ModulusSubstitution.doSubstitution,9,G,L1
101,2,453,CanonicalLabeler.isInvPart,1,F,L4
101,2,453,CanonicalLabeler.isInvPart,2,E,L9
101,2,453,CanonicalLabeler.isInvPart,3,G,L6
101,2,453,CanonicalLabeler.isInvPart,4,C,L2
101,2,453,CanonicalLabeler.isInvPart,5,D,L7
101,2,453,CanonicalLabeler.isInvPart,6,I,L5
101,2,453,CanonicalLabeler.isInvPart,7,H,L8
101,2,453,CanonicalLabeler.isInvPart,8,B,L3
101,2,453,CanonicalLabeler.isInvPart,9,A,L1
101,2,465,DoradeSWIB.getAzimuths,1,A,L4
101,2,465,DoradeSWIB.getAzimuths,2,D,L8
101,2,465,DoradeSWIB.getAzimuths,3,B,L6
101,2,465,DoradeSWIB.getAzimuths,4,H,L3
101,2,465,DoradeSWIB.getAzimuths,5,C,L2
101,2,465,DoradeSWIB.getAzimuths,6,E,L5
101,2,465,DoradeSWIB.getAzimuths,7,G,L7
101,2,465,DoradeSWIB.getAzimuths,8,F,L9
101,2,465,DoradeSWIB.getAzimuths,9,I,L1
101,2,472,CDKRGraph.parseRec,1,B,L6
101,2,472,CDKRGraph.parseRec,2,C,L7
101,2,472,CDKRGraph.parseRec,3,D,L5
101,2,472,CDKRGraph.parseRec,4,H,L3
101,2,472,CDKRGraph.parseRec,5,F,L9
101,2,472,CDKRGraph.parseRec,6,A,L4
101,2,472,CDKRGraph.parseRec,7,E,L8
101,2,472,CDKRGraph.parseRec,8,G,L2
101,2,472,CDKRGraph.parseRec,9,I,L1
101,2,483,MapStoreWrapper.loadAllKeys,1,E,L4
101,2,483,MapStoreWrapper.loadAllKeys,2,H,L3
101,2,483,MapStoreWrapper.loadAllKeys,3,A,L2
101,2,483,MapStoreWrapper.loadAllKeys,4,D,L6
101,2,483,MapStoreWrapper.loadAllKeys,5,C,L9
101,2,483,MapStoreWrapper.loadAllKeys,6,F,L7
101,2,483,MapStoreWrapper.loadAllKeys,7,G,L8
101,2,483,MapStoreWrapper.loadAllKeys,8,B,L5
101,2,483,MapStoreWrapper.loadAllKeys,9,I,L1
101,2,486,DefaultGroovyMethods.split,1,F,L4
101,2,486,DefaultGroovyMethods.split,2,C,L3
101,2,486,DefaultGroovyMethods.split,3,G,L5
101,2,486,DefaultGroovyMethods.split,4,E,L9
101,2,486,DefaultGroovyMethods.split,5,H,L2
101,2,486,DefaultGroovyMethods.split,6,A,L1
101,2,486,DefaultGroovyMethods.split,7,I,L6
101,2,486,DefaultGroovyMethods.split,8,D,L8
101,2,486,DefaultGroovyMethods.split,9,B,L7
101,2,503,SerializerBase.addXSLAttribute,1,B,L8
101,2,503,SerializerBase.addXSLAttribute,2,E,L9
101,2,503,SerializerBase.addXSLAttribute,3,F,L7
101,2,503,SerializerBase.addXSLAttribute,4,D,L5
101,2,503,SerializerBase.addXSLAttribute,5,C,L3
101,2,503,SerializerBase.addXSLAttribute,6,H,L6
101,2,503,SerializerBase.addXSLAttribute,7,I,L2
101,2,503,SerializerBase.addXSLAttribute,8,G,L4
101,2,503,SerializerBase.addXSLAttribute,9,A,L1
101,2,504,ExampleAssociatePoints.associate,1,I,L7
101,2,504,ExampleAssociatePoints.associate,2,G,L3
