func_name,sample_id,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
FileReader.checkFile,113,0.8633365213802522,0.8547482786421249,0.8346664501048219
SourceStreamTask.triggerCheckpoint,127,0.9321281806203421,0.9178094174146514,0.840792444683161
VariableIndex.getRecordAt,117,0.6421518786421426,0.693698218242369,0.5467895369237699
AsyncLoggerSet.waitForWriteQuorum,129,0.9223666645441608,0.8968820339899022,0.9049961969698158
Resolve.notOverriddenIn,130,0.8725633117120606,0.8492918060502604,0.7935392261741256
LazyValueMap.chopMap,128,0.8348325417612814,0.8864090271550024,0.791665475746787
QrCodeUtil.encode,46,0.8836796322384838,0.8376974977874146,0.8202886920348282
ExampleTemplateMatching.showMatchIntensity,93,0.9471529342238338,0.9570389215369933,0.8541059133061226
KinesisDataFetcher.registerShardMetrics,121,0.8675465674308627,0.8712529232125503,0.7892676618936992
Formatter.formatMessage,132,0.8976059319071129,0.909527230651127,0.8574524687655436
MDLV3000Reader.readBondBlock,9,0.9161886092144376,0.9165805308587522,0.8742120080790741
Period.moreThan,146,0.9502745178654672,0.9643731668698986,0.9102839030617887
SaturationChecker.couldMatchAtomType,105,0.8901282621961069,0.873650347813215,0.8109656327043714
SquareGridTools.findIntersection,106,0.8510825640139914,0.8886625806437766,0.8182759197001063
Config.setCacheEventJournalConfigs,114,0.9998642974133786,0.9999237624547238,0.998937160314726
MathUtil.binomialCoefficient,95,0.9134197144096589,0.8913364251531456,0.8614116726024056
CmsEmbeddedDialogHandler.onSiteOrProjectChange,99,0.989445396834305,0.9917348646007765,0.9918748753588006
RingbufferService.getOrCreateContainer,83,0.8672646683459933,0.8823212814532755,0.8334967178397829
MetadataType.getType,120,0.9699904401228214,0.9760852659162506,0.9504568888252833
SubWriterHolderWriter.addInheritedSummaryHeader,140,0.9958926928475272,0.9915232436492458,0.9864862722816934
RawLocalFileSystem.getFileCrc,124,0.9187359995348074,0.921232764397165,0.8409917494809396
RythmEngine.createEngine,119,0.9614816171387843,0.9532070628754343,0.8968137085030307
XMLTokener.nextMeta,101,0.8893464244512114,0.8279341292392497,0.7768704391941211
DefaultGroovyMethods.collect,143,0.9998771802925954,0.9998625604459207,1.0000000000000002
StatementUtil.prepareCall,118,0.9652615231696576,0.9861588713230383,0.9611461215560172
ErddapString2.toRational,62,0.8153067328924782,0.8454809393154267,0.7640503173263087
CrossOperatorBase.executeOnCollections,137,0.9740315354312585,0.9641325286637017,0.962111683464617
DancingLinks.split,147,0.9730200189370208,0.9634268844772863,0.905091577434774
TableFactoryService.discoverFactories,110,0.9204258716824031,0.9313166774306647,0.7937727561192638
Storage.writeAll,151,0.7251811382187845,0.7647425118494632,0.7275942594329726
CmsObject.loginUser,134,0.8458718441516974,0.8336573698826573,0.7566488447380513
UploadFileHeader.getContentType,142,0.9428922085402315,0.9185309034558542,0.7919203804132451
GasteigerPEPEPartialCharges.assignGasteigerPiPartialCharges,100,0.8354755937080223,0.8356345331504785,0.7029812068851198
TypeExtractor.createHadoopWritableTypeInfo,135,0.8773801344280745,0.8659926147090368,0.817935089146462
URI.indexFirstOf,156,0.9906821753662771,0.9853717711620954,0.9737164849563398
ExampleLineDetection.detectLines,141,0.9323195327449355,0.9466326799571183,0.8858595964214337
UserCodeDeploymentService.handleClassNotFoundException,154,0.8544015240164737,0.8007052080843055,0.8197948664646386
CanonicalLabeler.breakTies,157,0.8412441632877538,0.8560881180956708,0.6931356230530653
JsonOutput.getIndent,160,0.9622687058177479,0.9564181472505072,0.9184071163532701
GribResourceReader.getInputStream,152,0.8833843696448613,0.8948716426720025,0.7945807991428957
ConfusionMatrix.rowSum,177,0.9940396494498184,0.9927096241332497,0.9745093919457246
SecureASTCustomizer.setReceiversClassesWhiteList,150,0.9998507121207234,0.9998898768050521,0.9991474804172985
Partition.inSameCell,165,0.9820789154451762,0.980885440704927,0.9494580189380756
JavacTaskImpl.doCall,164,0.7553319606949999,0.770951833987596,0.7159189192363047
DownloadController.setup,73,0.8116592144819852,0.8545022778793891,0.7839443350876425
ELKILauncher.main,170,0.7966714183473592,0.7808891970688429,0.7457026081920847
DefaultJsonGenerator.writeMap,148,0.9460608007357666,0.9504304911276095,0.9228080483293211
BaseAsymmetric.initKeys,96,0.8334823232213732,0.8788412047600513,0.8138680000047493
ArrayUtils.append,85,0.9041338156670293,0.8762029209652545,0.8245828855208017
