func_name,sample_id,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
TypeUtil.getType,48,0.8279901400223335,0.8294337391853333,0.828532338142395,0.8374402966210186,0.828532338142395,0.8294337391853333,0.8294337391853333,0.8294337391853333,0.8378281593322754,0.8458031415939331,0.8526278734207153
MutableProgress.setTotal,102,0.9337635966594093,0.9200859665870667,0.9596530795097351,0.9524972736181402,0.9608820080757141,0.9661728143692017,0.9152126908302307,0.9294486045837402,0.9611452221870422,0.961432933807373,0.9422574043273926
BytePrimitiveVector.deserialize,0,0.7337865618839073,0.8923514485359192,0.7461398839950562,0.8438498678325786,0.9058380126953125,0.82355797290802,0.9063889384269714,0.7541507482528687,0.7603932619094849,0.9058380126953125,0.7719566226005554
NFAStateSerializer.serializeComputationStates,78,0.9952329248680967,0.9953492283821106,0.9952070713043213,0.9952160296041186,0.9952583312988281,0.9952070713043213,0.9952583312988281,0.9952583312988281,0.9952070713043213,0.9952070713043213,0.9952070713043213
TransliteratorIDParser.parseCompoundID,2,0.8578070155495053,0.9115774631500244,0.9140612483024597,0.9279904269217993,0.9612815380096436,0.9643905162811279,0.932013213634491,0.9700441360473633,0.9409329891204834,0.9631780385971069,0.935049831867218
TimeBoundedStreamJoin.removeExpiredRows,4,0.9140675137316064,0.9159417748451233,0.9216883182525635,0.9251740846399958,0.929105281829834,0.9039781093597412,0.9228401780128479,0.9034206867218018,0.8944873809814453,0.9179481863975525,0.9228627681732178
AtomicAllocator.getConfiguration,79,0.9090717248680528,0.9829174280166626,0.9832128286361694,0.9998533419515151,0.9240347146987915,0.9211328625679016,0.9240347146987915,0.9240347146987915,0.9211328625679016,0.9211328625679016,0.9211328625679016
GammaDistribution.chisquaredProbitApproximation,57,0.90677439448768,0.8950151205062866,0.9282519817352295,0.9079941777888043,0.9240804314613342,0.9086104035377502,0.8910672068595886,0.8932552933692932,0.9118367433547974,0.9324349164962769,0.912138044834137
CoordSysBuilder.findCoordinateTransforms,91,0.8217916787021222,0.9849610924720764,0.9721246957778931,0.9774350089197145,0.9724974036216736,0.9733515977859497,0.9708232879638672,0.9708232879638672,0.9777936339378357,0.9733515977859497,0.9777936339378357
AntlrParserPlugin.mapExpression,98,0.8309411506671468,0.9031700491905212,0.8803160786628723,0.8815751554926602,0.8570738434791565,0.8529337048530579,0.8481273651123047,0.8426718711853027,0.8622853755950928,0.842384934425354,0.9192096590995789
