func_name,\texttt{R2E}$_{\text{C1}}$,\texttt{R2E}$_{\text{C3}}$,\texttt{R2E}$_{\text{C4}}$,\texttt{R2E}$_{\text{C5}}$,\texttt{R2E}$_{\text{C6}}$,\texttt{R2E}$_{\text{C7}}$,\texttt{R2E}$_{\text{C8}}$,\texttt{R2E}$_{\text{C9}}$,\texttt{R2E}$_{\text{C2}}$
JavacParser.checkExprStat,0.58937606,0.937651917,0.935477076,0.830805293,0.959448833,0.897696012,0.958417719,0.885197105,0.953953298
BoxImageTransform.doTransform,0.590473616,0.874119315,0.85667832,0.83690922,0.834466655,0.884491217,0.836255111,0.869045695,0.86984247
ResourceGroovyMethods.readBytes,0.859040284,0.895103334,0.946105853,0.80885277,0.946331707,0.938423723,0.946065207,0.945320492,0.939214817
AbstractDoclet.startDoclet,0.931585672,0.903994035,0.894158018,0.913653793,0.898528659,0.910458258,0.895322217,0.909207936,0.772461248
Cell.containsPoint,0.654954682,0.764893826,0.743128673,0.778708643,0.87226073,0.754376016,0.816842378,0.769998825,0.909547431
PostVersionedIOReadableWritable.read,0.475579189,0.863703506,0.815158686,0.839378579,0.851232079,0.752286255,0.841939162,0.752504505,0.842448892
Partition.addToCell,0.892187859,0.915435943,0.914837619,0.871195633,0.853390511,0.912180801,0.915556905,0.87585685,0.915170561
Row.of,0.999893611,0.999904119,1,1,0.99987665,0.999898184,0.999914985,0.999865188,0.999913468
MultiViewOps.split3,0.999933821,0.999906051,0.999934603,0.999906753,0.999378272,1,0.999906753,0.999939386,0.999906753
Sign.setCertificate,0.650683957,0.88266436,0.881004546,0.857233409,0.898888073,0.858165265,0.937300523,0.869014048,0.83000978
SimpleGroovyClassDoc.getParentClasses,0.847676818,0.896266577,0.856907848,0.885168996,0.808035411,0.864303167,0.856463791,0.859829897,0.888991066
CmsJspTagContentCheck.setIfexistsall,0.909822556,0.909381467,0.908848098,0.908404064,0.908619287,0.909336345,0.908680036,0.909295386,0.909596961
AbstractGempakStationFileReader.getStationList,0.723104202,0.891152456,0.898072197,0.892869727,0.939903759,0.925435341,0.943101604,0.894523846,0.93810028
OrPredicate.setPredicates,0.840110526,0.897106862,0.84895466,0.893587251,0.898063826,0.930973213,0.874207869,0.897473594,0.8947272
MapProxyImpl.submitToKeys,0.888298026,0.889253905,0.880928256,0.878531933,0.88735045,0.886635152,0.906420106,0.881499372,0.891340543
TimeCategory.getRelativeDaylightSavingsOffset,0.877930954,0.901047098,0.869462655,0.889276259,0.904768665,0.891471696,0.914334679,0.90001846,0.893397221
CalendarDateFormatter.parseISODate,0.86841127,0.990860191,0.990790641,0.991375342,0.931527095,0.991028618,0.991028618,0.990688906,0.99114465
