func_name,qwen3-8B_ires,doubao-embedding-vision-251215_ires,qwen3-4B_ires
FPGrowth.run,0.905026736,0.84757992,0.961338354
StatisticsEditsVisitor.visit,0.898929119,0.829809122,0.857943412
MLLibUtil.toClassifierPrediction,0.961453331,0.821386816,0.949126679
ExceptionProxy.checkAndThrowException,0.71245646,0.6706394,0.657292571
CameraPlaneProjection.setIntrinsic,0.828370144,0.795144318,0.90446308
AbstractIndexWriter.addDescription,0.947992774,0.874959102,0.911896992
NormalizedKeySorter.readPointer,0.910395373,0.813015545,0.9082821
URI.removeFragmentIdentifier,0.924719736,0.83993941,0.917666913
DataDescriptorTreeConstructor.replicate,0.775611448,0.698919388,0.805679728
ArrayUtil.setOrAppend,0.942444275,0.849624022,0.899899834
GDiscreteFourierTransformOps.phase,0.998560003,0.995916499,0.998329598
LocalDate.atStartOfDay,0.93374432,0.85746123,0.92087764
UtilLepetitEPnP.jacobian_Control4,0.999947397,1,0.999923722
Calendar.setTimeZone,0.762224854,0.600262309,0.777265943
DefaultConvention.findCoordinateName,0.958262345,0.943700252,0.964658881
View.showSessionDialog,0.913829392,0.910600995,0.90568706
InternalPartitionServiceImpl.updatePartitionsAndFinalizeMigrations,0.873348465,0.774067252,0.864317239
JsonSlurper.parse,0.806770126,0.670385503,0.830247226
BinaryExternalSorter.close,0.808437838,0.825503119,0.819196389
CmsPublishEngine.checkCurrentPublishJobThread,0.912485688,0.865743221,0.933545852
AbstractParamDialog.getBtnOK,0.962508837,0.894644523,0.959887046
LoggingUtil.exception,0.99986617,0.99824268,0.999886844
DisparityToColorPointCloud.configure,0.926042929,0.828757705,0.887866253
CardinalityEstimatorContainer.merge,0.902395287,0.885230836,0.94111491
DeprecatedListWriter.generateDeprecatedListFile,0.883494499,0.810670476,0.859247852
ProcfsBasedProcessTree.getCumulativeCpuTime,0.932102761,0.823948984,0.918109188
DataSet.leftOuterJoin,0.999884008,0.999085363,0.999887193
Extension.encode,0.955696096,0.91249845,0.957838097
AbstractNode.addLeafEntry,0.999868954,0.998406875,0.999899794
QueueContainer.offerBackup,0.999924362,0.998797623,0.999859532
DapSerializer.writeAtomicVariable,0.894646697,0.917472358,0.907017773
BinaryImageOps.clusterToBinary,0.959235561,0.936290089,0.974920872
SearchIterator.previous,0.940889164,0.91918229,0.959473954
RuleBasedTransliterator.safeClone,0.981952185,0.935044154,0.970983579
KeyUtil.getAlgorithmAfterWith,0.949093047,0.832557859,0.954492317
ExecutionJobVertex.connectToPredecessors,0.847578598,0.758060469,0.892548334
HydrogenAtom.matches,0.863564058,0.738531073,0.833515563
FsStateBackend.createCheckpointStorage,0.900467482,0.833834419,0.930847568
VersionCheck.checkVersions,0.830554712,0.761383755,0.848645293
FindDialog.getBtnCancel,0.988388594,0.971936866,0.981912049
JShellTool.printEvalException,0.869133495,0.755707395,0.84606253
CmsXmlGroupContainer.fillResource,0.837636682,0.808386229,0.834418323
JobTracker.getReasonForBlackList,0.917306368,0.836601624,0.894604685
PoissonDistribution.rawProbability,0.940761433,0.92310238,0.926758986
ClassUseWriter.getClassUseHeader,0.954258706,0.93837634,0.968181828
HttpMessage.setResponseBody,0.963936322,0.897712208,0.966847984
AkkaRpcActor.handleCallAsync,0.91130454,0.810437431,0.869937557
BaseLevel2.ger,0.989171508,0.989465342,0.992346148
CmsEntityBackend.createFromNativeWrapper,0.919162174,0.827660813,0.901064853
ClassLoaderUtil.getOrCreate,0.828929736,0.77545724,0.866704923
CmsUploadBean.createListener,0.977011268,0.947704925,0.964641672
QueryOptimizerFactory.newOptimizer,0.927128239,0.847045578,0.890550234
CmsDefaultWorkflowManager.getLabel,0.910544652,0.876218636,0.954616418
ForkJoinPool.tryCompensate,0.818684165,0.713990686,0.788530711
HttpBody.setLength,0.967839275,0.930822993,0.973537555
Util.mixHashCodes,0.914561846,0.89084614,0.897462887
GaliosFieldOps.divide,0.983997926,0.96709817,0.979526254
BackoffIdleStrategy.createBackoffIdleStrategy,0.951593805,0.910592504,0.944091039
MACCSFingerprinter.createPattern,0.905838773,0.851496129,0.916004821
QueryUtil.getSimilarityQuery,0.975907148,0.960469071,0.966435564
RodriguesRotationJacobian_F32.process,0.938493045,0.894897148,0.932926776
ClientConfig.setFlakeIdGeneratorConfigMap,0.997912354,0.993153659,0.997566112
INode.compareTo,0.931211707,0.830707296,0.916717142
CmsVfsDriver.internalReadParentId,0.907760835,0.836090157,0.925580128
OfflineEditsViewer.go,0.772548581,0.758238318,0.84966104
CmsFunctionRenderer.defaultHtml,0.780356924,0.766367356,0.76335517
DifferentialFunction.getValue,0.852107486,0.815912048,0.855676198
BinaryHashTable.spillPartition,0.916240193,0.831409737,0.912986745
SceneStructureMetric.getUnknownCameraParameterCount,0.944201667,0.948704563,0.956250699
ComputationGraph.initGradientsView,0.908491625,0.87655487,0.908334198
MatchingPointConfigPatternMatcher.getMatchingPoint,0.968629053,0.970074496,0.983511801
Validator.validateEmail,0.999912564,0.99946303,0.999872647
ApiUtils.getOptionalEnumParam,0.925236768,0.855960716,0.916694541
XMIDoclet.generateLogicalView,0.942699104,0.848094919,0.925819788
GroovyMain.processSockets,0.845429575,0.738995169,0.847987153
Json.schema,0.999878736,0.999232536,0.999927081
BlockPlacementPolicyHBase.chooseReplicaToDelete,0.938687064,0.855643771,0.947870212
Indexes.destroyIndexes,0.906163337,0.888979039,0.909584479
Log.localize,0.890090679,0.839057936,0.904202725
OperandStack.remove,0.873711874,0.78812851,0.783158867
FactoryDetectPoint.createHarris,0.955459522,0.881912825,0.961296804
ConnectLinesGrid.connectTry,0.878765488,0.812281009,0.842043993
OptionsParamCheckForUpdates.checkOnStart,0.824881688,0.825902596,0.872230529
Journal.refreshCachedData,0.840627286,0.704582238,0.810607479
UtilOpenKinect.bufferRgbToMsU8,0.877761926,0.823568879,0.834943735
CmsContentEditor.initFormPanel,0.862588642,0.806141416,0.853561254
MethodDocImpl.overriddenType,0.906098339,0.852414775,0.893182571
PoiChecker.checkPoiImport,0.765875478,0.808219153,0.906989141
CmsEditProjectDialog.actionCommit,0.862150657,0.805786395,0.863519386
Motion2DPanel.drawFeatures,0.910092126,0.837950786,0.871905868
HistoryReference.setNote,0.960030301,0.916704986,0.965607155
BindHandler.bind0,0.790229722,0.737192749,0.822131582
GeneratorSingleCluster.addTranslation,0.997065681,0.985178391,0.996861565
Runner.execute,0.640429828,0.603341972,0.618593045
UTF16.valueOf,0.936654621,0.918873085,0.941787363
InMemoryInvertedIndex.indexDense,0.984471368,0.989465577,0.992332405
ReUtil.extractMulti,0.923615325,0.876377518,0.913135583
ChemicalFilters.convertStereo,0.94046469,0.886338889,0.946373681
HttpMethodBase.getURI,0.843185196,0.782786289,0.85360696
AssociateSurfBasic.sort,0.944613294,0.852944945,0.970598104
NetworkTopology.getNode,0.998412635,0.992945249,0.998322621
ChemSequence.growChemModelArray,0.974478545,0.957137528,0.991182344
DefaultGroovyMethods.buffered,0.993636195,0.968648557,0.993239633
ItemCounter.set,0.984114519,0.986951456,0.994970489
DebugReaction.setProductCoefficients,0.944685541,0.898108632,0.963372862
FitLinesToContour.sanityCheckCornerOrder,0.862785044,0.792077568,0.805710431
NoFetchingInput.require,0.864617824,0.831488632,0.889902111
KeyPointsCircleRegularGrid.addTangents,0.918090809,0.90190725,0.936226261
HashUtil.MurmurHash3_x86_32,0.755317244,0.578656603,0.686970422
QueryAtomContainer.getBondOrderSum,0.95053182,0.917837645,0.951187747
PDBWriter.writeMolecule,0.919856636,0.830012258,0.907243208
AddOnLoader.checkAndInstallAddOnsNotInstalled,0.854814186,0.760771136,0.915803073
WKTParser.eatReal,0.924469116,0.885626594,0.942608054
RocksDBIncrementalRestoreOperation.restoreInstanceDirectoryFromPath,0.912581465,0.843326966,0.915099984
CmsMessages.keyWithParams,0.81954001,0.702473206,0.897467055
ParquetRecordReader.getCurrentReadPosition,0.816827863,0.79169908,0.804150396
ArrowSerde.addDataForArr,0.725744327,0.591330468,0.667067647
ClusterJoinManager.executeJoinRequest,0.918613536,0.782310353,0.856299959
CPSubsystemConfig.getGroupSize,0.937298397,0.846395271,0.944170657
SquareRegularClustersIntoGrids.checkNumberOfConnections,0.794177254,0.693773085,0.740339296
DatasetUrl.getProtocols,0.878865659,0.722727236,0.894497032
AmbiguityLibrary.init,0.976179377,0.954556062,0.977440316
WriterFactory.createWriter,0.916563752,0.815106861,0.904448425
CounterMap.isEmpty,0.79055142,0.863373826,0.885659902
CmsLockManager.internalSiblingLock,0.947002387,0.876492637,0.954750111
EstimateSceneCalibrated.addTriangulatedStereoFeatures,0.925203409,0.89210597,0.949801567
HadoopJob.getStatus,0.892743273,0.790613955,0.860203017
ZapHeadMethod.readResponseBody,0.939088759,0.895966234,0.93247988
GridGenerator.getCoordinatesFromGridPoint,0.937414115,0.914499046,0.938124908
TransliteratorIDParser.specsToSpecialInverse,0.917122282,0.824934735,0.888998929
ParquetRecordReader.seek,0.85683073,0.813835311,0.879682291
InMemoryCookieStore.addIndex,0.95899583,0.904724995,0.956197769
A_CmsTreeTabDataPreloader.getCommonSite,0.891057295,0.847682364,0.878771614
MigrationManager.sendShutdownOperation,0.843946473,0.815146682,0.821813407
QrCodePreciseDetector.setLensDistortion,0.966512073,0.904294715,0.943453827
HeaderInputStream.read,0.780181024,0.693099092,0.821437243
RaftNodeImpl.registerFuture,0.947517523,0.820211455,0.941118505
HarFileSystem.makeRelative,0.849093282,0.718421013,0.851588153
BlocksMap.addINodeForLoading,0.921063943,0.892575615,0.908817312
ExtensionSpider.getTargetUriOutOfScope,0.878119179,0.804574797,0.909853483
EvaluateSilhouette.evaluateClustering,0.9108111,0.771295371,0.923375373
StructureDiagramGenerator.getRingAtom,0.943783229,0.896382007,0.950707652
LinuxTaskController.initializeJob,0.933455483,0.898510172,0.921444083
DerInputStream.readString,0.990984613,0.966756267,0.994416756
CmsUserInfoDialog.getStatusForItem,0.980751763,0.919618561,0.958273088
SDBaseOps.matchConditionCount,0.999874299,0.998240097,0.999834666
ExtensionHelp.getHelpIcon,0.999886391,0.998182615,0.999825086
TimSort.countRunAndMakeAscending,0.999893978,1,0.999922091
DesktopUtil.browse,0.969450299,0.913765151,0.935794146
FlexibleLOF.computeLOFs,0.931577144,0.869429957,0.906460605
UtilWavelet.borderForwardLower,0.905693276,0.879759054,0.94259184
ClassNode.getField,0.972356305,0.936132402,0.964685739
ClassTree.allSubs,0.862001645,0.820933074,0.896773666
DocTreeMaker.defaultSentenceBreak,0.915850704,0.813369211,0.926995832
HttpUtil.decodeParams,0.983373191,0.965762731,0.972148099
Security.getSpiClass,0.963425531,0.929801602,0.968409366
BaseDistribution.inverseCumulativeProbability,0.914492346,0.817030249,0.903062993
DeltaIteration.parallelism,0.995741992,0.983953626,0.990796731
Selector.getCorrectedReceiver,0.870647097,0.758889265,0.900927288
TaskListenerManager.notifyTaskStart,0.945301682,0.831900575,0.941021898
SpiderParam.setParseRobotsTxt,0.998439812,0.99623751,0.997282137
ExtensionParams.removeSessionToken,0.999911179,0.998818066,1
CDKSubGraphHandler.set,0.99993141,0.999434905,0.999881617
CmsRelationFilter.filterWeak,0.999943022,0.998217896,0.999894075
NFRuleSet.format,0.947240169,0.845707059,0.922784542
AbstractFullProjection.projectScaledToDataSpace,0.998883388,0.995323519,0.995938276
PartitionStateManager.initializePartitionAssignments,0.859909169,0.778186813,0.8794408
CmsSearchControllerFacetRange.addFacetPart,0.890650659,0.831097127,0.894044981
SimpleCamera2Activity.displayDensityAdjusted,0.831879748,0.730824127,0.821197981
SimpleCache.remove,1,0.998833708,0.999898817
KeyUtil.getSecretKeyFactory,0.980553324,0.972602822,0.975121274
CmsBasicDialog.createResourceListPanelDirectly,0.938821725,0.906690763,0.925837426
JavacState.taintPackage,0.832083794,0.780779185,0.906466327
ChessboardCornerClusterFinder.growCluster,0.764390734,0.619078131,0.725966311
HashSlotArrayBase.ensure0,0.917038574,0.79789437,0.874472724
ServerSocket.getSoTimeout,0.984210792,0.971156191,0.987558798
