func_name,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
URLUtil.url,0.864296026,0.905057132,0.957787812,0.916372751,0.923130333,0.959389806,0.958928585,0.959333956,0.923543811,0.962903976,0.913589835
A_CmsResourceType.updateRelationForUndo,0.842943145,0.830115795,0.835488558,0.861539263,0.822116971,0.813086867,0.83711493,0.827888191,0.834374845,0.836775005,0.83702004
AttributeTable.addAlias,0.900742507,0.883936048,0.906087101,0.909143516,0.896960735,0.903027713,0.916677594,0.907707036,0.865911365,0.89031148,0.911347747
D4Cursor.readAs,0.823920737,0.862819672,0.869363725,0.891433209,0.886747003,0.881888747,0.864195347,0.86910677,0.874919474,0.889711082,0.921414912
DateIntervalInfo.initializeFromReadOnlyPatterns,0.837355974,0.971967518,1.000000119,0.956023525,0.97856462,1.000000119,0.926777124,0.97970295,0.97970295,0.97970295,0.97856462
BrowserDialog.getJPanelBottom,0.79129926,0.904891849,0.902556837,0.856270446,0.892911851,0.898203552,0.893554389,0.894285321,0.895072758,0.895788848,0.894817412
CmsShellCommands.perf,0.745366224,0.884069443,0.870043397,0.873486872,0.859212399,0.863703787,0.86853826,0.866687834,0.875944972,0.863502026,0.861908019
HoughTransformLinePolar.transform,0.753682445,0.803863168,0.815149307,0.794657384,0.799195766,0.812257171,0.798803329,0.885736048,0.885736048,0.819214642,0.80783087
SplitMergeLineFitLoop.splitSegments,0.724949932,0.868079722,0.868879378,0.867266772,0.868079722,0.868879378,0.868079722,0.868879378,0.868879378,0.868879378,0.868079722
StaticTypeCheckingVisitor.pushInstanceOfTypeInfo,0.809612746,0.838369906,0.912753642,0.878734716,0.879797101,0.774579167,0.881517708,0.842669904,0.817381978,0.82865721,0.861881673
CudaDirectProvider.malloc,0.896248,0.942203641,0.931564569,0.92293669,0.924245358,0.928183377,0.913586378,0.940670133,0.937209308,0.926190138,0.920069277
